1,Barbra,Adkin,4 Kohler Memorial Dr,Boston,MA,02108,718-201-3751,badkin@hotmail.com
2,Jutta,Amyot,49 N Mays St,Boston,MA,02108,337-515-1438,jamyot@hotmail.com
3,Helga,Fredicks,42754 S Ash Ave,Boston,MA,02108,716-752-4114,helga_fredicks@yahoo.com
4,Cyndy,Goldammer,170 Wyoming Ave,Boston,MA,02108,952-334-9408,cgoldammer@cox.net
5,Quentin,Birkner,7061 N 2nd St,Boston,MA,02108,952-702-7993,qbirkner@aol.com
6,Raina,Brachle,3829 Ventura Blvd,Boston,MA,02108,406-318-1515,raina.brachle@brachle.org
7,Mona,Delasancha,38773 Gravois Ave,Boston,MA,02108,307-403-1488,mdelasancha@hotmail.com
8,Valentin,Klimek,137 Pioneer Way,Boston,MA,02108,312-303-5453,vklimek@klimek.org
9,Carmela,Cookey,9 Murfreesboro Rd,Boston,MA,02108,773-494-4195,ccookey@cookey.org
10,Erick,Nievas,45 E Acacia Ct,Boston,MA,02108,773-704-9903,erick_nievas@aol.com
11,Viva,Toelkes,4284 Dorigo Ln,Boston,MA,02108,773-446-5569,viva.toelkes@gmail.com
12,Nichelle,Meteer,72 Beechwood Ter,Boston,MA,02108,773-225-9985,nichelle_meteer@meteer.com
13,Kattie,Vonasek,2845 Boulder Crescent St,Boston,MA,02108,216-923-3715,kattie@vonasek.org
14,Adelina,Nabours,80 Pittsford Victor Rd #9,Boston,MA,02108,216-230-4892,adelina_nabours@gmail.com
15,Marvel,Raymo,9 Vanowen St,Boston,MA,02108,979-718-8968,mraymo@yahoo.com
16,Jaclyn,Bachman,721 Interstate 45 S,Boston,MA,02108,719-853-3600,jaclyn@aol.com
17,Sherita,Saras,8 Us Highway 22,Boston,MA,02108,719-669-1664,sherita.saras@cox.net
18,Jade,Farrar,6882 Torresdale Ave,Boston,MA,02108,803-352-5387,jade.farrar@yahoo.com
19,Bernardo,Figeroa,386 9th Ave N,Boston,MA,02108,936-336-3951,bfigeroa@aol.com
20,Tracey,Modzelewski,77132 Coon Rapids Blvd Nw,Boston,MA,02108,936-264-9294,tracey@hotmail.com
21,Annmarie,Castros,80312 W 32nd St,Boston,MA,02108,936-751-7961,annmarie_castros@gmail.com
22,Krissy,Rauser,8728 S Broad St,Boston,MA,02108,631-443-4710,krauser@cox.net
23,Frederica,Blunk,99586 Main St,Boston,MA,02108,214-428-2285,frederica_blunk@gmail.com
24,Kenneth,Grenet,2167 Sierra Rd,Boston,MA,02108,517-499-2322,kenneth.grenet@grenet.org
25,Kristel,Ehmann,92899 Kalakaua Ave,Boston,MA,02108,915-452-1290,kristel.ehmann@aol.com
26,Joni,Breland,35 E Main St #43,Boston,MA,02108,847-519-5906,joni_breland@cox.net
27,Mitzie,Hudnall,17 Jersey Ave,Boston,MA,02108,303-402-1940,mitzie_hudnall@yahoo.com
